"SalesOfficeName","GLA","SLA","YearlyHours","RoofHeight","LaserLight","StandAlone","Orientation","Fittings","NoofFittings","MechPacUnits","MechSplit_DuctedUnits","AirhandlingUnits","TotalKw","LEDBatternsReceiving","BEMS","BEMSInstallDate","SalesOfficeLong","SalesOfficeLat","OpenYear"
"kew east",2476,2010,5408,8,"NONE","a","N","Highbay LED 150w",132,4,2,0,193,"NONE","NONE",2020-01-01,145.0569,-37.796746,"2012"
"coburg",2124,1667,5408,6.5,"NONE","2 Wall","E","Highbay MH 350w",98,5,2,0,239.5,"NONE","NONE",2020-01-01,144.95842,-37.732881,"2008"
"taylors lakes",1020,821,5408,5,"NONE","2 Wall","S","Highbay MH 350w",63,0,0,0,225,"NONE","NONE",2020-01-01,144.775686,-37.69479,"2008"
"carnegie",2083,1733,5408,5.5,"NONE","a","N","Highbay LED 150w",110,5,1,0,337,"NONE","NONE",2020-01-01,145.054979,-37.883186,"2009"
"pakenham",2097,1705,5408,6.5,"NONE","a","S","Highbay MH 350w",97,5,1,0,354,"NONE","Yes",2015-09-01,145.454822,-38.061338,"2010"
"keysborough",1979,1633,5408,6.5,"NONE","1 Wall","S","Highbay LED 150w",116,5,2,0,283,"NONE","NONE",2020-01-01,145.152161,-37.990836,"2010"
"wangaratta",972,814,4680,5,"NONE","a","W","Highbay LED 150w",65,0,0,0,225,"NONE","NONE",2020-01-01,146.333482,-36.352013,"2015"
"chirnside park",2219,1925,5408,6.5,"NONE","a","W","Highbay LED 150w",126,4,1,0,281.5,"NONE","NONE",2020-01-01,145.300423,-37.767992,"2011"
"wodonga",1679,1452,5408,6.5,"NONE","2 Wall","W","Highbay LED 150w",101,5,1,0,303.5,"NONE","NONE",2020-01-01,146.90815,-36.13635,"2010"
"box hill south",1965,1649,5408,6.5,"NONE","a","E","Highbay LED 150w",118,4,2,0,253,"NONE","NONE",2020-01-01,145.135016,-37.835853,"2012"
"traralgon",2064,1754,5408,6.5,"NONE","1 Wall","S","Highbay LED 150w",126,4,2,0,222,"NONE","Yes",2015-10-01,146.533788,-38.198993,"2001"
"traralgon",2064,1754,5408,6.5,"NONE","1 Wall","S","Highbay LED 150w",126,4,2,0,222,"NONE","Yes",2015-10-01,146.557145,-38.191429,"2011"
"altona north",1800,1558,5408,6.5,"NONE","1 Wall","S","Highbay LED 150w",116,4,2,0,189.5,"NONE","NONE",2020-01-01,144.843361,-37.845005,"2014"
"bayswater",2121,1778,5408,6.5,"NONE","1 Wall","N","Highbay LED 150w",104,4,2,0,279.5,"NONE","NONE",2020-01-01,145.280519,-37.830995,"2013"
"vermont south",2008,1680,5408,6.5,"NONE","a","E","Highbay LED 150w",112,4,2,0,282,"NONE","Yes",2016-09-01,145.195913,-37.858354,"2012"
"dandenong south",2170,1758,5408,6.5,"NONE","2 Wall","W","Induction 150w",110,4,2,0,322,"NONE","NONE",2020-01-01,145.218476,-38.005344,"2012"
"caroline springs",1769,1445,5408,6.5,"NONE","2 Wall","E","Highbay LED 150w",98,4,2,0,290,"NONE","NONE",2020-01-01,144.746246,-37.7624,"2013"
"five dock",1855,1401,6188,6.5,"a","1 Wall","N","Highbay LED 150w",100,3,2,0,236.4,"NONE","NONE",2020-01-01,151.113853,-33.867779,"1996"
"alexandria",2900,1620,5408,6.5,"a","a","W","Highbay LED 150w",105,3,3,0,318,"NONE","NONE",2020-01-01,151.200757,-33.907715,"1996"
"dee why",2130,1530,5408,10.5,"a","1 Wall","S","Highbay LED 150w",100,3,3,0,298,"NONE","NONE",2020-01-01,151.281556,-33.7585,"1997"
"fairy meadow",2344,1823,5408,6.5,"NONE","a","E","Highbay LED 150w",111,5,2,0,192.9,"a","NONE",2020-01-01,150.89064,-34.404697,"1996"
"newcastle west",2297,1626,5408,6.5,"NONE","1 Wall","N","Highbay LED 150w",146,4,1,0,343.5,"NONE","Yes",2016-04-01,151.778784,-32.92614,"1997"
"glebe",2980,2163,5408,5,"NONE","2 Wall","S","Highbay LED 100w",202,4,2,0,309,"NONE","NONE",2020-01-01,151.190758,-33.878967,"1998"
"west gosford",2048,1697,5408,8,"NONE","1 Wall","S","Highbay LED 150w",99,3,3,0,250,"NONE","NONE",2020-01-01,151.320394,-33.427717,"1999"
"liverpool",2131,1580,5408,6.5,"a","a","S","Highbay MH 350w",78,0,5,0,280.8,"NONE","NONE",2020-01-01,150.918846,-33.907608,"1999"
"albury",2503,1678,5408,6.5,"a","a","S","Highbay LED 150w",95,3,2,0,209,"NONE","NONE",2020-01-01,146.922827,-36.083893,"1999"
"bondi junction",2190,1899,5408,5.5,"a","2 Wall","S","Highbay LED 150w",131,4,1,0,280.5,"NONE","NONE",2020-01-01,151.245775,-33.892505,"2000"
"blacktown",2062,1603,5408,6.5,"NONE","1 Wall","N","Highbay LED 150w",101,4,1,0,219.8,"NONE","NONE",2020-01-01,150.910285,-33.765574,"2000"
"dubbo",2151,1491,5252,6.5,"NONE","a","W","Highbay LED 150w",85,4,2,0,324.5,"NONE","NONE",2020-01-01,148.604679,-32.240973,"2001"
"lismore",2232,1615,5252,6.5,"a","1 Wall","S","Highbay MH 350w",120,7,2,0,376.5,"NONE","NONE",2020-01-01,153.27448,-28.811419,"2002"
"north ryde",2150,1901,6188,6.5,"NONE","1 Wall","W","Highbay LED 150w",138,0,6,0,207,"NONE","NONE",2020-01-01,151.131835,-33.791988,"2002"
"lewisham",1733,1185,5408,6.5,"a","1 Wall","S","Highbay LED 150w",81,4,1,0,295.8,"NONE","NONE",2020-01-01,151.148969,-33.89621,"2002"
"mona vale",1641,1135,5408,7,"a","2 Wall","W","Highbay LED 150w",73,3,1,0,191.1,"NONE","NONE",2020-01-01,151.309108,-33.675774,"2002"
"hornsby",1608,1083,5408,4.3,"NONE","2 Wall","S","Fluoro Batterns",330,2,3,0,137,"NONE","NONE",2020-01-01,151.100174,-33.700324,"2008"
"mosman",981,728,5408,5,"NONE","2 Wall","W","Fluoro Batterns",110,2,2,0,96.3,"NONE","NONE",2020-01-01,151.239767,-33.824259,"2003"
"taren point",1699,1231,5356,4.5,"NONE","2 Wall","E","Highbay MH 250w",71,3,1,0,224,"NONE","Yes",2016-11-01,151.121235,-34.017949,"2004"
"auburn",1721,1233,5408,6.5,"NONE","2 Wall","N/A","Highbay MH 350w",81,3,0,0,381,"NONE","NONE",2020-01-01,151.028366,-33.837342,"2006"
"campbelltown",1721,1251,5408,6.5,"a","a","E","Highbay LED 150w",78,3,2,0,320.5,"NONE","NONE",2020-01-01,150.821675,-34.059513,"2004"
"west ryde",1085,738,5408,4.5,"NONE","2 Wall","N/A","Fluoro Batterns",120,0,2,0,58,"NONE","NONE",2020-01-01,151.092696,-33.808615,"2005"
"nowra",1000,733,4420,6.5,"a","a","S","Highbay LED 150w",61,5,0,0,239,"NONE","NONE",2020-01-01,150.603601,-34.877482,"2007"
"kotara",1550,1155,5408,6.5,"NONE","1 Wall","W","Highbay LED 150w",73,4,1,0,226.5,"NONE","NONE",2020-01-01,151.712855,-32.938449,"2006"
"castle hill",1756,1253,5408,5.5,"NONE","2 Wall","N/A","Highbay LED 150w",91,0,0,0,225,"NONE","NONE",2020-01-01,150.976342,-33.727561,"2007"
"greenacre",2032,1607,5408,6.5,"NONE","1 Wall","E","Highbay LED 150w",92,4,2,0,221,"NONE","NONE",2020-01-01,151.066038,-33.900097,"2013"
